condition,subject,session,cycle,trial,test,stimulus,category,response,dangerous,nutricious,correct,cumulative,RT,motivation,competence,communication,complement,AccuracyP,Accuracy
Dyads,32,3,1,27,0,10010.jpg 3,1,2,0,0,0,100,6153,3,3.5,2.5,1.5,0.22485159279341926,0
Dyads,32,3,1,28,0,11000.jpg 3,1,1,0,0,1,200,11235,3,3.5,2.5,1.5,0.47673521587043727,1
Dyads,32,3,1,29,0,10000.jpg 3,1,1,0,0,1,300,5851,3,3.5,2.5,1.5,0.48209833245695477,1
Dyads,32,3,1,30,0,00110.jpg 3,1,2,0,0,0,200,11667,3,3.5,2.5,1.5,0.3082090642888129,0
Dyads,32,3,1,31,0,00011.jpg 3,3,3,1,0,1,300,19784,3,3.5,2.5,1.5,0.3698253192170522,1
Dyads,32,3,1,32,0,00000.jpg 3,1,1,0,0,1,400,9658,3,3.5,2.5,1.5,0.5874486108928757,1
Dyads,33,1,1,1,0,11010.jpg 1,2,2,0,1,1,100,20309,2,2.5,3,3.5,0.6100135304977978,1
Dyads,33,1,1,2,0,10101.jpg 1,3,3,1,0,1,200,11634,2,2.5,3,3.5,0.624062637677799,1
Dyads,33,1,1,3,0,01010.jpg 1,2,2,0,1,1,300,8626,2,2.5,3,3.5,0.77150181499464765,1
Dyads,33,1,1,4,0,00101.jpg 1,1,1,0,0,1,400,15417,2,2.5,3,3.5,0.6279126017867088,1
Dyads,33,1,1,5,0,00001.jpg 1,1,1,0,0,1,500,12657,2,2.5,3,3.5,0.7510756582598375,1
Dyads,33,1,1,6,0,01101.jpg 1,1,2,0,0,0,400,20287,2,2.5,3,3.5,0.6425878530932613,0
Dyads,33,1,1,7,0,10010.jpg 1,2,4,0,1,0,300,20956,2,2.5,3,3.5,0.6452876423438569,0
Dyads,33,1,1,8,0,00000.jpg 1,1,1,0,0,1,400,7102,2,2.5,3,3.5,0.7571406039279509,1
Dyads,33,1,1,9,0,11100.jpg 1,3,3,1,0,1,500,8611,2,2.5,3,3.5,0.6321963832935488,1
Dyads,33,1,1,10,0,10000.jpg 1,1,3,0,0,0,400,3124,2,2.5,3,3.5,0.5125974427785865,0
Dyads,33,1,1,11,0,01001.jpg 1,1,1,0,0,1,500,4198,2,2.5,3,3.5,0.8056376695080889,1
Dyads,33,1,1,12,0,11001.jpg 1,1,4,0,0,0,400,17544,2,2.5,3,3.5,0.6436111514406206,0
Dyads,33,1,1,13,0,00000.jpg 1,1,1,0,0,1,500,5505,2,2.5,3,3.5,0.7571406039279509,1
Dyads,33,1,1,14,0,10101.jpg 1,3,3,1,0,1,600,20144,2,2.5,3,3.5,0.624062637677799,1
Dyads,33,1,1,15,0,01100.jpg 1,1,1,0,0,1,700,17905,2,2.5,3,3.5,0.5518238997337004,1
Dyads,33,1,1,16,0,10100.jpg 1,3,3,1,0,1,800,7334,2,2.5,3,3.5,0.7010752550679304,1
